S..No.,State..UT,state_code,Defective.brakes,Defective.Steering,Punctured.burst.Tyres,Bald.Tyres,Worn.out.Tyres,Other.serious.mechanical.defect,normal,mist_fog,cloudy,rain,flooding,hail_sleet,snow,dust_storm,Surfaced.Roads,Metalled.Roads,Pucca.road..Normal.Road.,Kutcha.Roads,Dry.road,Wet.road,Good.surface,Loose.Surface,Road.under.repair.construction,Corrugated.Wavy.road,Slippery.surface,Snowy,Muddy,Oily,Straight.Road,Slight.Curve,Flat.Road,Gentle.Incline,Hump,Dip,Pot.Holes,Speed.Breaker,Steep.Incline,Sharp.Curve,Earthern.Shoulder.Edge.Drop,Others.road.conditions
1,Andhra Pradesh,1,5,6,6,6,7,6,6,6,6,6,7,6,7,5,6,7,6,7,6,5,6,4,6,5,4,6,5,4,6,6,6,6,5,5,6,6,6,7,7,7
2,Arunachal Pradesh,3,4,3,3,3,4,3,2,2,3,2,4,4,4,4,2,2,2,2,2,3,1,3,3,3,3,4,4,6,2,2,1,2,4,4,4,3,4,3,4,2
3,Assam,2,5,5,4,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,5,4,4,3,4,4,4,3,5,5
4,Bihar,4,5,5,5,5,6,4,4,7,5,5,7,6,5,7,5,5,4,5,5,6,4,6,7,7,6,7,7,6,5,6,5,5,7,7,6,7,6,6,6,5
5,Chhattisgarh,5,7,7,6,5,6,7,5,4,6,6,6,5,6,5,5,6,6,6,6,6,6,6,5,5,6,6,5,6,6,6,5,6,6,7,5,5,5,5,5,6
6,Goa,6,2,2,2,3,4,2,4,1,2,5,4,3,3,3,4,3,4,3,4,4,4,3,3,4,5,4,4,4,4,5,4,3,4,4,3,3,3,4,4,2
7,Gujarat,7,6,6,7,6,7,7,6,6,6,5,7,6,6,7,6,6,6,6,6,6,6,7,5,6,5,7,6,7,6,6,6,7,5,6,7,6,6,5,6,6
8,Haryana,9,5,5,5,6,7,5,5,7,5,6,7,7,3,6,6,4,5,6,5,5,6,5,3,3,3,4,3,4,5,5,5,2,3,2,3,5,5,4,5,5
9,Himachal Pradesh,8,2,2,3,3,4,3,4,4,4,3,4,3,6,3,3,5,4,4,4,3,4,5,4,4,5,5,4,4,4,4,4,5,4,4,3,1,4,5,4,3
10,Jammu & Kashmir,25,4,4,5,5,5,6,5,2,4,3,4,3,7,3,4,5,4,5,4,5,4,7,4,4,7,6,6,7,4,5,4,6,6,6,4,3,5,6,4,5
11,Jharkhand,10,5,5,6,4,6,5,3,5,6,5,5,7,4,6,4,4,3,5,4,4,4,3,5,6,5,4,5,5,4,4,4,5,6,5,5,6,5,5,7,6
12,Karnataka,11,7,5,5,7,4,6,7,6,7,7,6,5,7,7,7,7,7,7,7,7,7,5,6,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,5,7
13,Kerala,12,2,2,2,3,4,1,7,5,7,7,5,3,3,3,7,6,7,4,7,7,7,7,6,6,7,4,7,7,7,7,7,6,6,3,7,4,7,7,7,4
14,Madhya Pradesh,13,7,7,7,7,7,7,7,7,7,7,4,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7
15,Maharashtra,14,6,7,7,7,5,6,7,5,7,6,5,3,3,7,7,7,7,6,7,7,7,6,6,7,7,4,7,7,7,7,7,7,6,6,7,7,7,6,6,6
16,Manipur,15,4,4,4,4,5,4,2,3,3,3,4,5,4,4,2,3,2,4,3,4,2,4,4,3,4,5,4,5,3,3,3,4,3,4,4,3,3,4,4,3
17,Meghalaya,16,3,4,4,4,4,4,2,3,3,3,5,3,5,3,3,2,2,2,3,1,3,2,3,3,3,4,3,4,3,2,3,2,3,2,3,4,2,2,4,4
18,Mizoram,17,1,2,2,3,4,2,1,2,2,1,4,3,3,3,1,3,2,1,1,2,2,2,3,3,3,4,3,4,1,3,1,3,3,2,3,1,1,1,4,1
19,Nagaland,18,3,3,3,3,4,2,2,1,2,1,4,3,3,3,2,2,1,2,2,1,2,2,3,3,3,4,3,4,2,2,2,2,3,2,3,1,2,2,4,1
20,Orissa,19,6,6,7,6,7,5,5,6,6,6,6,6,5,6,5,5,5,5,5,6,5,6,7,7,6,5,6,5,5,5,5,5,7,6,5,6,6,5,5,5
21,Punjab,20,3,3,4,4,5,3,5,6,5,4,5,4,3,5,5,4,5,3,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4
22,Rajasthan,21,6,6,6,4,5,7,7,5,4,4,4,5,3,4,7,4,7,4,7,4,7,5,4,5,3,4,3,4,7,4,7,4,3,3,6,5,4,4,4,4
23,Sikkim,22,4,4,3,3,4,3,1,3,2,2,4,4,4,3,1,3,1,3,2,3,1,3,3,3,3,4,4,4,1,2,2,3,3,5,3,1,3,3,6,3
24,Tamil Nadu,23,7,7,7,6,7,6,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,4,7,7,7,6,7,7,7,7,7,7,6,6
25,Telangana,24,7,7,6,7,6,7,6,4,5,5,7,7,7,5,6,6,6,7,6,5,5,4,6,5,4,6,5,4,6,6,6,7,5,5,5,5,5,6,4,7
26,Tripura,26,3,3,2,3,4,2,3,3,3,2,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,4,3,4,3,3,3,4,3,3,3,3,2,2,4,3
27,Uttarakhand,27,4,4,4,5,4,4,3,4,2,3,4,5,5,4,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,5,4,4,4,3,3,4,2
28,Uttar Pradesh,28,7,7,7,7,5,5,6,7,7,7,7,7,7,7,6,7,6,7,6,7,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7
29,West Bengal,29,6,6,5,7,6,7,6,7,5,7,6,6,6,6,4,6,4,6,5,6,5,6,7,6,7,6,6,6,5,5,6,5,5,6,6,6,6,6,7,7
30,A & N Islands,30,1,2,2,3,4,1,2,1,2,2,4,3,3,3,2,2,2,1,2,2,2,2,3,3,3,4,3,4,2,2,2,2,3,2,3,2,3,2,4,1
31,Chandigarh,31,1,2,2,3,4,1,3,1,2,1,4,3,3,3,3,2,3,1,2,1,3,2,3,3,3,4,3,4,2,2,2,2,3,2,3,2,1,1,4,1
32,D & N Haveli,32,2,2,2,3,4,3,1,2,2,2,4,3,3,3,2,2,1,2,1,2,2,2,3,3,3,4,3,4,2,2,2,2,3,2,3,2,1,1,4,2
33,Daman & Diu,33,1,2,2,3,4,1,1,2,2,1,4,3,3,3,1,2,1,1,1,2,1,2,3,3,3,4,3,4,1,2,1,2,3,2,3,2,1,1,4,2
34,Delhi,34,3,3,3,3,5,5,4,4,4,4,4,7,3,5,1,2,5,3,1,1,1,2,3,3,3,4,3,4,1,2,1,2,3,2,3,2,2,2,4,4
35,Lakshadweep,35,1,2,2,3,4,1,1,1,2,1,4,3,3,3,1,2,1,1,1,1,1,2,3,3,3,4,3,4,1,2,1,2,3,2,3,1,1,1,4,1
36,Puducherry,36,2,2,2,3,4,2,3,3,3,4,4,4,6,3,4,2,3,4,3,2,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,4,2,3,4,3
